Content,Date,Compound,Sentiment,Thème
"💹Relais de croissance 

=> Géographique avec Benelux
=> Sectoriel avec la transition énergétique

Levier de croissance de court terme en vert (transition, compteur intelligent...) 

Les effets sont visibles : hausse de 38% du CA au Benelux en 2022",2023-01-29,0.8773,Positif,Énergies renouvelables et croissance économique
C’est comme ça qu’ils préparent là transition énergétique et pour l’écologie ils font travailler les enfants et ça ne les dérange pas je te le garantis merde,2023-01-29,-0.128,Negatif,Développement de la production d'énergie et réglementations européennes
"Si si l'enjeu on l'a très bien compris

""Les objectifs fixés par le gouvernement sont clairs : résorber le déficit à venir du système et dégager des marges de manœuvre budgétaires pour financer d'autres priorités – de l'hôpital à la transition énergétique""
francetvinfo.fr/economie/ret…",2023-01-29,0.1761,Positif,"Énergie solaire et éolienne, politiques et réglementations"
"Madame Tabesse a ensuite mis l’accent sur l’impérieuse nécessité de développer les énergies propres pour non seulement booster l’économie nationale mais aussi enclencher la transition énergétique et ce, afin de parvenir à la souveraineté énergétique dans notre pays.",2023-01-29,0.8689,Positif,Développement de la production d'énergie et réglementations européennes
"En effet isolation des bâtiments et lutte contre la précarité énergétique sont essentiels dans la transition énergétique. Nous nous mobilisons aussi pour ça et pensons que la sobriété doit s'appliquer partout ; les pouvoirs publics doivent donner l'exemple
greenpeace.fr/crise-energeti…",2023-01-29,0.3612,Positif,Plan d'investissement industriel
"@franceinfo

""Les objectifs fixés par le gouvernement sont clairs : résorber le déficit à venir du système et dégager des marges de manœuvre budgétaires pour financer d'autres priorités – de l'hôpital à la transition énergétique""
francetvinfo.fr/economie/ret…",2023-01-29,0.0516,Positif,"Énergie solaire et éolienne, politiques et réglementations"
"Il faut que nos impôts soient mieux dépenser dans les choses qui sont pour le bien commun sans nécessité de ROI , comme la santé, la sécurité, la retraite , l'éducation, la recherche, l'optimisation de nos services publics, et la transition énergétique.Laisser au privée le reste",2023-01-29,0.5562,Positif,Énergies renouvelables et croissance économique
La transition énergétique est plus que jamais d'actualité avec les récentes décisions prises par le gouvernement en matière d'environnement. Quel est votre avis sur cette transition écologique ? #EnergiesRenouvelables #TransitionEcologique,2023-01-29,0.7717,Positif,Enjeux énergétiques mondiaux et financement de la transition
La transition énergétique PUIS par la suite la maintenance de toutes les infrastructures et équipements demandant une expertise et un savoir faire serait aussi source d’emplois.,2023-01-29,0.69,Positif,Développement de la production d'énergie et réglementations européennes
"_xDD34__xD83D_#Pétrole - Sans contester le #changementclimatique, l'Organisation des producteurs de pétrole africains (APPO) exhorte ses Etats membres à prendre en compte la menace que représente la transition énergétique pour les économies nationales et leur développement social. #Afrique",2023-01-29,0.3382,Positif,Développement de la production d'énergie et réglementations européennes
"🇪🇺 Pourquoi la transition énergétique de l'#Europe est un enjeu stratégique ? ♻️

1️⃣ Gagner la ""guerre"" de l'énergie 🇷🇺
2️⃣ Être autonome en énergie ⚡️
3️⃣ Avoir le leadership de la gouvernance sur le climat
4️⃣ Devenir une puissance politique mondiale 🌎
@CMathieu_ @IFRI_ #Ukraine",2023-01-29,-0.471,Negatif,Développement de la production d'énergie et réglementations européennes
L’accompagnement de nos clients dans leur transition énergétique est une priorité. Notre dispositif Green a permis de former tous les collaborateurs et se poursuit par la webconférence de ce jour initiée par @beneclarenne avec @Harold_Elie @GroupeBPCE Nicolas Durand @cozynergy,2023-01-29,0.0258,Neutre,Développement de la production d'énergie et réglementations européennes
"Ajoutons à cela le problème des compétences de la population active, face notamment, au défi de la transition énergétique laquelle va entraîner la disparition de nombreux métiers dans l'industrie...",2023-01-29,0.6497,Positif,Développement de la production d'énergie et réglementations européennes
si c'est fait pour la transition énergétique complète let's go mais si c'est pour juste plugger des gros pollueurs sur la grid a bas prix fuck that shit,2023-01-30,0.5106,Positif,Développement de la production d'énergie et réglementations européennes
"Chaque fois que quelqu'un parle de ""transition énergétique"" ou de ""carboneutralité"" cette personne là veut te voler.",2023-01-30,-0.3182,Negatif,Plan d'investissement industriel
C'est stupide penser qu'il faut faire une transition énergétique,2023-01-30,0.3612,Positif,Développement de la production d'énergie et réglementations européennes
"= aux boîtes qui innovent dans la transition énergétique. Les Etats-Unis offrent des ponts d'or aux entreprises de batteries électriques qui s'installent sur leur sol, par exemple. Le problème, c'est que plusieurs pays européens sont réticent à de nouvelles dépenses.",2023-01-30,0.6249,Positif,Plan d'investissement industriel
"Les insoumis savent que le régime est structurellement déficitaire mais ils s'en balec, ils veulent encore le creuser. Les mêmes qui veulent que l'état finance la transition énergétique et la dépendance vieillesse. Qui sont les zozos pouvant croire à de telles conneries ??",2023-01-30,0.3313,Positif,Développement de la production d'énergie et réglementations européennes
"En gros ""nos enfants n'aurons qu'a pas payer"", pratique. Ils auront pas de système social ni de transition énergétique à financer eux non? Donc autant faire exploser la dette pour financer notre génération.",2023-01-30,-0.3632,Negatif,Transition énergétique et politique gouvernementale
"le chip et science act pose probleme à la chine.... c'est pour ça que la chine est en retard en DUV/EUV nécessaire pour les semiconducteurs, par contre ils ont bien le monopole sur le cuivre et d'autres elements critiques pour la transition energétique ,STEM, militaire",2023-01-30,0.4412,Positif,Développement de la production d'énergie et réglementations européennes
"Mettez concrètement l’épaule à la roue de la transition énergétique du Canada en participant au plus grand événement sur l’#éolien, le #solaire et le #stockaged’énergie au pays. Inscrivez-vous dès aujourd’hui : ow.ly/LfVn50Mphbm",2023-01-30,0.3826,Positif,Énergies renouvelables et croissance économique
"Les investissements dans les énergies à faible émission de carbone égalent ceux dans les combustibles fossiles en 2022 - 1001rss.com/les-investisseme…
Selon le groupe de recherche BloombergNEF, l'investissement dans la transition énergétique atteindra 1 100 milliards de dollars en ...",2023-01-30,0.4007,Positif,Développement de la production d'énergie et réglementations européennes
C'est probablement le point de vue de la très grande majorité. Mais ce n'est pas en mettant le gun sur la tempe des gens que tu vas aider à la transition énergétique ou réduction du trafic.,2023-01-30,0.6124,Positif,Développement de la production d'énergie et réglementations européennes
"Transition énergétique...ont a déjà des routes biodégradables,  c'est pas assez...continuons ce gouffre financier comme ton siaf 🤮🤮",2023-01-30,-0.5632,Negatif,Plan d'investissement industriel
Les dépenses dans la transition énergétique ont égalé celles en énergies fossiles en 2022 siecledigital.fr/2023/01/27/… via @siecledigital,2023-01-30,0.6239,Positif,Développement de la production d'énergie et réglementations européennes
"Le rapport sur le Cadre pour l’innovation énergétique que nous venons de publier est une étape importante dans la réponse à la transition énergétique, la clarification de la réglementation et la création de valeur pour le consommateur. - engagewithus.oeb.ca/fei
#InfoÉnergie",2023-01-30,0.8481,Positif,Énergies renouvelables et croissance économique
nan et encore moins la chine ils se veulent leaders de la transition énergétique,2023-01-30,0.4404,Positif,Développement de la production d'énergie et réglementations européennes
"1/3 Depuis 2020, j'ai fait de la transition énergétique une des priorités de la Ville de Givors. C'était nécessaire au regard des enjeux climatiques, ce l'est encore plus aujourd'hui au regard de l'inflation que nous subissons depuis de longs mois.",2023-01-30,0.5399,Positif,Développement de la production d'énergie et réglementations européennes
"3) Nous continuons de mener des projets 🛢️ car ils répondent à une demande 🌍, un arrêt brutal du 🛢️ aurait pour conséquence de priver des millions de gens d’un accès à l'énergie par manque ou explosion de son prix & ce n’est pas la vision d’une transition énergétique juste.",2023-01-30,-0.6015,Negatif,Développement de la production d'énergie et réglementations européennes
"La transition énergétique de 5 entreprises de la Mauricie pourrait passer par les services proposés par @Conceptnumérique, #MembreAQT. 

🍃 ow.ly/5f1Z50MEOKz
#TechnoduQuebec #developpementdurable",2023-01-30,0.4926,Positif,Développement de la production d'énergie et réglementations européennes
"Ils rappellent juste ça

""Les objectifs fixés par le gouvernement sont clairs : résorber le déficit à venir du système et dégager des marges de manœuvre budgétaires pour financer d'autres priorités – de l'hôpital à la transition énergétique""
francetvinfo.fr/economie/ret…",2023-01-30,0.0516,Positif,"Énergie solaire et éolienne, politiques et réglementations"
"🌍 Réchauffement climatique : leur raison de rester positif !

Pour @JouzelJean « La communauté scientifique a gagné en crédibilité…. Il faut aussi se dire que le monde dans lequel la transition énergétique aura réussi est un monde attractif » 👇

ouest-france.fr/environnemen…",2023-01-30,0.7777,Positif,Enjeux énergétiques mondiaux et financement de la transition
Qu'ils sont en pleine transition énergétique.,2023-01-30,0.4404,Positif,Plan d'investissement industriel
"La transition énergétique en Afrique du Nord aux prises avec le néocolonialisme go.shr.lc/3HOpcpv via @infoLibertaire 
Article extrêmement intéressant sur la perpétuation du  néocolonialisme 💩😡",2023-01-31,0.8742,Positif,Énergies renouvelables et croissance économique
L'Algérie mise sur l'énergie photovoltaïque pour assurer sa transition énergétique depuis une dizaine d'années et c'est pas les appels d'offres qui ont manqué mais rien de concret !,2023-01-31,0.6114,Positif,Enjeux énergétiques mondiaux et financement de la transition
"Transition énergétique : plus de 60 milliards supplémentaires par an sont nécessaires, selon Le Maire buff.ly/3wHue0u",2023-01-31,0.4926,Positif,Développement de la production d'énergie et réglementations européennes
Alwihda Info - Tchad : Le Tchad s’engage dans la transition énergétique solaire grâce au projet RESPITE signé en Sierra Leone tinyurl.com/2bjudh4o,2023-01-31,0.7177,Positif,Développement de la production d'énergie et réglementations européennes
"La ""transition énergétique"" que les 🤡 perroquets de TVA nouvelles répètent sans cesse n'est rien d'autre que la destruction par étapes de nos vies. C'est une commande de l'idéologie mondialiste et n'a aucunement à coeur l'être humain. C'est une guerre ouverte contre l'humanité!",2023-01-31,-0.5837,Negatif,Plan d'investissement industriel
Tchad : Le Tchad s’engage dans la transition énergétique solaire grâce au projet RESPITE signé en Sierra Leone alwihdainfo.com/Tchad-Le-Tch…,2023-01-31,0.7177,Positif,Développement de la production d'énergie et réglementations européennes
Devenir partenaires de la transition énergétique...,2023-01-31,0.4784,Positif,Plan d'investissement industriel
"Et un super bon plan de « transition » énergétique, exploiter nos hydrocarbures pour enrichir encore plus le Québec.",2023-01-31,0.6249,Positif,Plan d'investissement industriel
TRANSITION ÉNERGÉTIQUE - L'industrie automobile appelle l'Europe à stimuler ses entreprises vers la transition verte.,2023-01-31,0.7284,Positif,Plan d'investissement industriel
"Le député solidaire @HarounBouazzi accuse le gouvernement de la CAQ de vouloir faire diversion avec le dossier de Amira #Elghawaby, à défaut d’avoir un «plan clair pour la transition énergétique juste, pour l’école publique (et) pour la crise dans les hôpitaux.»

#polqc #assnat",2023-01-31,-0.4926,Negatif,Énergies renouvelables et croissance économique
"Électricité ou pas, la production d’hydrogène est une fausse bonne idée. C’est surtout une idée poussée par les gazières et pétrolières pour ralentir la transition énergétique.",2023-01-31,0.3818,Positif,Développement de la production d'énergie et réglementations européennes
"je ne suis pas favorable à la dévastation de la planète pour réaliser les projets miniers de la prétendue transition énergétique, j'ai regardé les conférence d'Aurore Stéphant, mais en l'occurrence l'argument du lutécium n'est pas valide pour les véhicules électriques je crois",2023-01-31,-0.3004,Negatif,Développement de la production d'énergie et réglementations européennes
"La dépendance de l'Europe au gaz russe a conduit certains à prédire que le continent finira par s'effondrer.
Une transition énergétique aura lieu en 2023. (éolienne et solaire).
🚨Merci de lire avant de laisser un commentaire.👇
 ember-climate.org/insights/r…",2023-01-31,0.1007,Positif,Énergies renouvelables et croissance économique
"La ""transition énergétique"" n'est pas simplement une escroquerie intellectuelle, c'est une gigantesque escroquerie financière.
Rien qu'en 2022, l'Etat à donné 37 Milliards au détenteurs d'éoliennes (fonds étrangers), sans compter la destruction d'EDF et l'explosion des factures.",2023-01-31,0.8545,Positif,Énergies renouvelables et croissance économique
"C’est vrai que pour parler économie, transition énergétique, vous avez chosi le meilleur. Décidément, rien ne vous arrête pour qu’on vous voie.
Regardez plutôt la rue qui gronde. Un de mes amis est mort hier. 64 ans. Ca vous parle cet âge ?",2023-01-31,0.8739,Positif,Économie française et recherche en énergie.
"Exactement les mêmes infiltrations que le mouvement des gilets jaunes: Ces crevures de merde vont réclamer le revenu universel pour toutes zétous, la transition énergétique, le développement durable et les contrôles sanitaires!",2023-01-31,0.68,Positif,Développement de la production d'énergie et réglementations européennes
Comment industrialiser les villes africaines dans un monde en transition énergétique forcée fondée sur les énergies renouvelables ?,2023-01-31,0.5267,Positif,Développement de la production d'énergie et réglementations européennes
"On lui explique à cet ado bien sympa qui va payer pour cette retraite à 62 ans? Qui va payer la dette que les boomers ont accumulé ? Pour la transition énergétique qu’ils n’ont pas voulu financer?  

#Solidarité avec les boomers !",2023-01-31,0.7205,Positif,Développement de la production d'énergie et réglementations européennes
"Selon BP, la sécurité énergétique du fait de la guerre russo-ukrainienne accélère la transition énergétique vers l'énergie locale, susceptible de provenir de renouvelables ou non fossiles. L'électrification joue un grand rôle, pétrole et gaz s'ajustent

reuters.com/business/energy/…",2023-01-31,0.6114,Positif,Développement de la production d'énergie et réglementations européennes
"Présentement il y a un Comité sur l’économie et la transition énergétique auquel chaque parti participe, ça vient défaire ton délire",2023-02-01,0.5106,Positif,Développement de la production d'énergie et réglementations européennes
Merci cher @Bowenchris pour ces échanges. De nombreux points de convergence pour accélérer notre transition énergétique et développer une économie zéro carbone.,2023-02-01,0.7906,Positif,Projet d'énergie durable et politiques gouvernementales
"Comprends pas, comprends rien. Oui transition énergétique,et c'est nous qui payons les factures",2023-02-01,0.0,Neutre,Plan d'investissement industriel
"Rénover le bâti ancien, c'est sauvegarder l'âme de nos villages & inscrire le #Patrimoine dans l’avenir. Tel était le thème de la table ronde ce jour au @Senat. Ravie d'avoir retrouvé @FdeMazieres, Maire de #Versailles, ville patrimoniale engagée dans la transition énergétique.",2023-02-01,0.8442,Positif,"Énergie solaire et éolienne, politiques et réglementations"
"Le repas est actuellement à 3-4€ au Crous…pour un repas entrée plat dessert c’est vrm rien, vous voulez pas vous battre pour financer la transition énergétique? Puisque vous avez tant à subventionner, n’hésitez pas!",2023-02-01,0.5399,Positif,Transition énergétique et politique gouvernementale
"Excellent article.
Vous devriez le lire car le seul juge de paix concernant la transition énergétique c'est le taux de CO2/Kwh.
europeanscientist.com/fr/opi…",2023-02-01,0.8625,Positif,Développement de la production d'énergie et réglementations européennes
"2/4 Cependant, nous aurons besoin d'une grande quantité d'électricité afin de réaliser la transition énergétique et décarboner tous les secteurs de notre économie.

Plus à ce sujet dans notre Plan stratégique : hydroquebec.com/a-propos/pla…",2023-02-01,0.4926,Positif,Plan d'investissement industriel
"Cette aide pour le carburant est absurde. Alors qu’on nous parle de transition énergétique et de réchauffement climatique, avoir soutenu le carburant est ce qu’on peut faire de pire en termes d’image.",2023-02-01,-0.2023,Negatif,Transition énergétique et politique gouvernementale
Les batailles de la transition énergétique famanews.xyz/?p=86454,2023-02-01,0.0772,Positif,Développement de la production d'énergie et réglementations européennes
Les batailles de la transition énergétique besttimes.jobsnum.com/2023/0…,2023-02-01,0.0772,Positif,Développement de la production d'énergie et réglementations européennes
"Au programme du Forum économique 🇲🇦-🇪🇸, la présentation du #CEMAES et deux panels de discussion sur les opportunités que présente la reconfiguration des chaînes de valeur mondiales et sur la transition énergétique et l’économie circulaire. @Mehditaz @Saadia2812 @Marrakchi_Hakim",2023-02-01,0.8118,Positif,Énergies renouvelables et croissance économique
Voici un autre signe que la transition énergétique n'est pas réellement mise en branle par nos gouvernements. Les pétrolières continue de s’enrichir alors que leurs activités devraient être en train de disparaître. lp.ca/9MWlVm?sharing=true,2023-02-01,-0.1043,Negatif,Développement de la production d'énergie et réglementations européennes
"C'est pas la ministre de la Transition écologique, c'est la ministre de la Transition énergétique",2023-02-01,0.4404,Positif,Transition énergétique et politique gouvernementale
72 millions d'euros pour la transition énergétique en Bourgogne-Franche-Comté : trois exemples de projets soutenus ift.tt/NCiAqWS #auvergne,2023-02-01,0.6696,Positif,Développement de la production d'énergie et réglementations européennes
"Rdv aujourd’hui avec @pdharreville et les conseillers de @EmmanuelMacron à @Elysee. Les enjeux de la ZIP de Fos sont entendus en matière de transition énergétique et d’infrastructures.
L’État doit donner l’impulsion, tous les acteurs du territoire sont prêts!
#FosEnGrand #avenir",2023-02-01,0.717,Positif,Plan d'investissement industriel
"Pour financer la transition énergétique il n’y a pas d’argent. Mais pour reverser 132 milliards de dollars aux actionnaires en 1 mois, aucun soucis.",2023-02-02,0.4926,Positif,Développement de la production d'énergie et réglementations européennes
Il y a 2 mois la réforme devait permettre de financer la transition énergétique. Dans le PLF 2023 que vous avez publié elle doit financer les baisses d’impôts de production sur les entreprises. Pourquoi mentir aux français ? Assumez.,2023-02-02,0.5242,Positif,Projet d'énergie durable et politiques gouvernementales
Très belle proposition de @ALEC_Lyon pour rendre les écoliers acteurs de la transition énergétique et sensibiliser les adultes...,2023-02-02,0.6253,Positif,Développement de la production d'énergie et réglementations européennes
"🇱🇺🇪🇺🇫🇷 Au Luxembourg pour débattre aux côtés de mon collègue Robby Biwer de la transition énergétique et de l’enjeux du logement pour la forte communauté française de la ville de #Bettembourg
@lsap_lu @PES_CoR",2023-02-02,0.4926,Positif,Énergies renouvelables et croissance économique
"_xDD34__xD83D_ 🟢 Coprésidant avec le Chef du gouvernent, Aziz Akhannouch, les travaux de la 12-ème Réunion de Haut Niveau Maroc-Espagne, M. Sanchez a appelé à harmoniser les politiques publiques des deux pays, accélérer la digitalisation et assurer la transition énergétique ... 2/3",2023-02-02,0.7847,Positif,Développement de la production d'énergie et réglementations européennes
"Tu t'es jamais dis qu'une petite partie pouvait quand même être nécessaire ?

Genre un bougie sur un voiture au sans-plomb : ça coûte queue d'alle sur le prix total et pourtant si t'en as pas tu vas pas loin.

Ben là c'est pareil avec la transition énergétique mon gars.",2023-02-02,0.5719,Positif,Développement de la production d'énergie et réglementations européennes
Transition énergétique : le défi d’une électrification de la France d’ici à 2050 lemonde.fr/economie/article/… a través de @lemondefr,2023-02-02,0.5411,Positif,Développement de la production d'énergie et réglementations européennes
La priorité sanitaire pour cette Europe de Von der Leyen! pas son objectif apparemment !business busness…nos agriculteurs# vont être ravis 😈Accord commercial UE-Chili : la souveraineté alimentaire passera après la transition énergétique | Portail de l'IE portail-ie.fr/short/4259/acc…,2023-02-02,0.8007,Positif,Enjeux énergétiques mondiaux et financement de la transition
"Demain j'aurai le plaisir d'aller dans un lycée à Eu pour parler de la #fakenews du siècle : la transition énergétique. Ca devrait être un super moment d'échange et de désintoxication médiatique pour ceux qui feront la France de demain.
piped.video/watch?v=4cQbpsvN…",2023-02-02,0.5859,Positif,Plan d'investissement industriel
"#ENERGIE: Voilà un pays 🇪🇺 qui a compris ce qu’à besoin réellement la transition énergétique.

76 réacteurs nucléaires pour 2036.

Ils ont compris ce qu’est un futur prospère où le bien-être du citoyen sera assuré et cela loin d’une paupérisation massive.

fr.businessam.be/pologne-nuc…",2023-02-02,0.9214,Positif,Énergies renouvelables et croissance économique
"Grâce aux KiloActs gagnés en agissant pour la transition énergétique avec ENGIE, je soutiens le projet de reforestation en Meurthe-et-Moselle ! @ENGIEpartFR particuliers.engie.fr/mon_pr… #JagisAvecEngie # MonProgrammePourAgir",2023-02-02,0.7707,Positif,Développement de la production d'énergie et réglementations européennes
"Signal + ? 
Archi faux car les EnRi sont adossées aux centrales thermiques à gaz. Landivisiau, déjà presque cédez aux espagnols à peine inaugurée, en est la preuve accablante. Sacrée transition énergétique 😤.",2023-02-02,-0.4576,Negatif,Énergies renouvelables et croissance économique
La transition énergétique est trop rapide. La classe moyenne ne pourra pas suivre. Surtout avec l'inflation COVID sur l'ensemble des nouveaux projets.,2023-02-02,0.5255,Positif,Développement de la production d'énergie et réglementations européennes
TRIBUNE. Le défi de la transition énergétique pour les entreprises ultramarines : une priorité pour la Fédération des Entreprises des Outre-mer en 2023 antilla-martinique.com/tribu…,2023-02-02,0.5837,Positif,Développement de la production d'énergie et réglementations européennes
Possible tout comme ce qui ne s'est jamais fait dans l'histoire de l'humanité c'est une transition énergétique.,2023-02-02,0.5719,Positif,Plan d'investissement industriel
"Prix pompe à chaleur 42000 euros 
Voiture électrique style ZOE + 35000 euros
La transition énergétique ça va coûter un pognon de dingue qui va payer ou pouvoir se la payer ? #transitionécologique",2023-02-02,0.7633,Positif,Développement de la production d'énergie et réglementations européennes
"🇩🇪 vise 2035 pour l'achèvement de sa transition énergétique vers un mix 100% EnRv. Rien d'étonnant sur cette photo contemporaine donc.

🇫🇷 @rte a établi un scénario 100% EnRv (M0) dans son étude ""futur énergétique 2050"".

Donc oui, il est techniquement possible de faire sans.",2023-02-02,0.5983,Positif,Développement de la production d'énergie et réglementations européennes
"ℹ️ Réunion co-présidée par la ministre de la transition énergétique @AgnesRunacher, et par le ministre délégué aux @lesoutremer Jean-François Carenco.

↔️ Temps d'échanges prévus pour recueillir l’avis et les questions des participants à la visio-conférence.",2023-02-02,0.4926,Positif,Transition énergétique et politique gouvernementale
"EN DIRECT : François Legault, PM du Québec, discute d’un projet pilote sur la transition énergétique
➡️ow.ly/2h4y50MIbHL

LIVE: Quebec Premier François Legault discusses pilot for energy transition
➡️ow.ly/wmms50MIbHK
#polcan | #cdnpoli",2023-02-02,0.6496,Positif,Plan d'investissement industriel
"13 h 00 HE: François Legault, PM du Québec, discute d’un projet pilote sur la transition énergétique #cdnpoli
torynow.com/stream/KJdcG7EWi…",2023-02-02,0.453,Positif,Développement de la production d'énergie et réglementations européennes
"La transition énergétique des entreprises, c'est aussi proposer des solutions de mobilité durable aux employés : tinyurl.com/2bmybbcz",2023-02-03,0.4939,Positif,Plan d'investissement industriel
"La dame se présente ainsi sur Twitter :
« Parceque nous n'avons qu'une planète luttons pour sa protection. Elue à la Convention Citoyenne pour la Transition Énergétique. #LesVerts ».",2023-02-03,0.3367,Positif,Enjeux énergétiques mondiaux et financement de la transition
"La transition énergétique est en cours, vivement les véhicules électriques, traversiers électriques, tramway. Sobriété énergétique svp…Hydro-Québec s’est engagée à vendre 20 000 MW aux Américains à bas prix pour 25 ans.",2023-02-03,0.858,Positif,Développement de la production d'énergie et réglementations européennes
"hydrogentoday.info/ademe-hyd… 
A l’occasion du salon HyVolution, Agnès Pannier-Runacher, ministre de la Transition énergétique, a dévoilé 14 nouveaux lauréats de l’appel à projets « Écosystèmes territoriaux hydrogène ».",2023-02-03,0.7707,Positif,Plan d'investissement industriel
Et qui a subventionné l'installation de chaudières à fioul à condensation jusqu'en 2018 via le crédit d'impôts sur la transition énergétique...,2023-02-03,0.5862,Positif,Énergies renouvelables et croissance économique
"À un moment, il va falloir cesser ces pantomimes « concurrentielles » et boursières pour revenir à l’essentiel = la transition énergétique française par les transferts vers l’élec et la compétitivité de l’industrie française. Le reste relève de la comedia del Arte !",2023-02-03,0.4926,Positif,Plan d'investissement industriel
La transition énergétique suppose de gros transferts des fossiles vers l’électricité (ENR ET Nucléaire) : cela ne peut se faire avec une électricité chère. Donc la question de l’avenir de L’ARENH dans un contexte d’EDF publique est une question cruciale.,2023-02-03,0.7696,Positif,Développement de la production d'énergie et réglementations européennes
"En attendant, le nuke est le moins pourri et (avec de l'EnR dans le mix) le plus à même d'assurer la transition énergétique et la réduction des émissions de CO2.",2023-02-03,0.2465,Positif,Développement de la production d'énergie et réglementations européennes
"Le manque de vision des politiciens est criante. L'humanité a une génération de retard sur la transition énergétique : manque de vision, manque d'investissement, manque de concertation, manque de neutralité politique, etc.",2023-02-03,0.5859,Positif,Économie française et recherche en énergie.
"La #bâtiment représente près de 23 % des émissions de GES en France. Le besoin en matériaux de construction innovants est donc primordial pour décarboner le secteur et réussir la transition énergétique. Petit tour d'horizon
@FFBatiment @IFPEB @PlanBatiment
humanite.fr/sciences/academi…",2023-02-03,0.7891,Positif,Enjeux du nucléaire et besoin de réduction d'énergie
"Bravo Groupe Coderr et BEV - Boivin Evolution. La transition énergétique en action !...
Danny Roy, ing., MBA Francis Caouette Mathieu Ouellette, ing. lnkd.in/e5hJaAqs",2023-02-03,0.8803,Positif,Développement de la production d'énergie et réglementations européennes
Ville de #PeyrollesEnProvence - Economie d'énergie :  La commune de Peyrolles-en-Provence sensibilise les citoyens à la transition énergétique et à la maîtrise des consommations.... #InfoFlash info-flash.com/info-flash/ac…,2023-02-03,0.5139,Positif,Développement de la production d'énergie et réglementations européennes
"Du coup je le redis, ceux qui ne parlent JAMAIS de production d'énergie plutôt que d'électricité, d'EnR thermiques, etc, ne peuvent pas dire qu'ils travaillent à la transition énergétique ou à la protection du climat.",2023-02-03,0.4926,Positif,Développement de la production d'énergie et réglementations européennes
Faut-il saisir le patrimoine des milliardaires pour financer la transition énergétique ?,2023-02-03,0.4404,Positif,Développement de la production d'énergie et réglementations européennes
Transition énergétique : le défi d’une électrification de la France d’ici à 2050 – via @lemondefr lemonde.fr/economie/article/…,2023-02-03,0.5411,Positif,Développement de la production d'énergie et réglementations européennes
"L'Ukraine, un pays riche en ressources naturelles Le pays dispose d'immenses réserves inexploitées de gaz naturel et de métaux nécessaires à la transition énergétique.
Voilà pourquoi 🇺🇸 et l’Europe veulent nous entraîner dans cette guerre 🤬 histoire de 💰 wort.lu/fr/international/l-u…",2023-02-03,0.7959,Positif,Plan d'investissement industriel
"💡Nucléaire ou charbon, renouvelables ou gaz, production, transport & stockage, quels sont les défis de la transition énergétique ?
🗣️ Avec le conseiller de Paris @fmdidier, nous recevrons @DenisPayre et @emma_ducros
Ouvert à tous 🤗",2023-02-03,0.8172,Positif,Transition énergétique et politique gouvernementale
"#energie |J.Chevalier @Prefet67 a visité le Centre Nucléaire de Production d’Électricité #nogentsurseine.
🫱 échanges riches,prometteurs▶️l'avenir
🫱 perspectives de développement économique du #territoire
🫱 transition énergétique et décarbonation
🫱  souveraineté énergétique 🇫🇷",2023-02-03,0.807,Positif,Développement de la production d'énergie et réglementations européennes
"Une batterie de missiles *solaires*.

Batterie... solaire... il y a peut être même moyen d'avoir une subvention  en passant ça pour de la transition énergétique.",2023-02-03,0.5775,Positif,Économie française et recherche en énergie.
"Pour aller plus loin (1/2) :

Notre Lettre ouverte @EmmanuelMacron qui exprimait déjà notre exigence de respect des opinions des xn--franais-xxa.es dans la construction de la transition énergétique. fne.asso.fr/actualites/debat…",2023-02-03,0.8172,Positif,"Énergie solaire et éolienne, politiques et réglementations"
"tristes écologistes, pas capables de comprendre que le prix de notre transition énergétique, c'est bien de vivre avec du nucléaire pour se débarrasser du charbon",2023-02-04,0.5106,Positif,Développement de la production d'énergie et réglementations européennes
"La Belgique est un pays compliqué et la planification de la transition énergétique doit être faite en dehors de tout dogmatisme.

Dixit: @McMarghem",2023-02-04,0.3182,Positif,Développement de la production d'énergie et réglementations européennes
"QCn’a pas besoin d’être souverain pour développer la transition énergétique - les écoles, les foyers de soins de longue durée, les hôpitaux et les routes du QC sont tous en ruine maintenant, pourquoi pensez-vous que quelque chose d’autre pourrait être mieux après l’indépendance?",2023-02-04,0.3382,Positif,Développement de la production d'énergie et réglementations européennes
"Objectif: les nuages. Le gouvernement semble naviguer à vue dans la transition énergétique, observent deux experts ledevoir.com/politique/78049…",2023-02-04,0.5719,Positif,Projet d'énergie durable et politiques gouvernementales
Franchement y’en yelen wara nopalou bayil Ndem macky xana amolen vie ki yalla mokofi tek mindef menoussi dara donc weurseukom bou diexé dey dem. Parlez au moins des choses qui peuvent améliorer le quotidien des gens ailleurs on parle de transition énergétique et écologique de,2023-02-04,0.7003,Positif,Développement de la production d'énergie et réglementations européennes
Nos sinistres qui conduisent la fameuse transition énergétique ont t’ils connaissance de ces données ? Si comme je le pense OUI ! Pour qui détruisent ils la France et ses atouts ? 🤷🏻🇫🇷 #CO2,2023-02-04,-0.7605,Negatif,Développement de la production d'énergie et réglementations européennes
"Sur ce point je suis d'accord avec vous, l'après Fukushima et les décisions de différents pays de se passer du nucléaire compliquent les choses du point de vue de la transition énergétique.",2023-02-04,0.6249,Positif,"Énergie solaire et éolienne, politiques et réglementations"
