Content,Clean_Tweet,Date,Thème TEner,Thème Énergétique,Thème TEco,Thème Écologique
"C’est quand même dérangeant de trouver la conclusion avant l’argumentation quand on se dit journaliste climatique, tout ça pour dire au final que la transition écologique allemande est une catastrophe.","['déranger', 'trouver', 'conclusion', 'argumentation', 'journalist', 'climatique', 'final', 'écologique', 'allemand', 'catastrophe']",2023-01-15,Thème 14,"Énergie nucléaire, électricité et économie industrielle",Thème 10,Services publics et transition écologique
"Je pense que c'est pareil pour tous les gens normalement constitués mdr_x000D_
Je voyais déjà le happy partenariat avec le ministère de la transition écologique pour montrer comment mieux s'isoler,..","['pareil', 'normalement', 'constituer', 'mdrx000d', 'voyai', 'happy', 'partenariat', 'ministèr', 'écologique', 'montrer', 'sisoler']",2023-01-15,Thème 12,Innovation dans le secteur de l'énergie,Thème 0,Politiques environnementales et écologiques du gouvernement français
Cette semaine premier des 4 webinaires dédiés à la #transition #ecologique en #paysage pour @LesEntDuPaysage d’#iledefrance. 👉 Infos : iledefrance.msa.fr/lfp/sst/w…,"['semaine', 'webinaire', 'dédier', 'ecologiqu', 'paysager', 'lesentdupaysage', 'iledefrance', 'info', 'iledefrancemsafrlfpsstw']",2023-01-15,Thème 6,Emploi et dynamique économique,Thème 11,Réformes écologiques et environnementales en France
"Ah... _x000D_
_x000D_
Vous savez que la fuit2 en avant c'est complètement con ? _x000D_
_x000D_
Alexis Kohler, Dupont Moretti, Darmanin (non lieu ne veut pas dire innocent), Abbad, Borne, Panier Runacher (ministre de la transition écologique venant d'une famille de... Pétrolier) _x000D_
_x000D_
Buzyn Alain Grizet lecornu","['x000d', 'x000d', 'savoir', 'fuit2', 'complètement', 'con', 'x000d', 'x000d', 'alexis', 'kohler', 'dupont', 'moretti', 'darmanin', 'innocent', 'abbad', 'born', 'panier', 'runacher', 'ministre', 'écologique', 'venir', 'famille', 'pétrolier', 'x000d', 'x000d', 'buzyn', 'alain', 'grizet', 'lecornu']",2023-01-15,Thème 0,Politique énergétique et environnementale,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Formation des 25000 Hauts Fonctionnaires d’Etat à la Transition Écologique semble bien partie! 🤞_x000D_
Un vrai progrès pour notre société _x000D_
_x000D_
lemonde.fr/planete/article/2…","['formation', 'haut', 'fonctionnaire', 'etat', 'écologique', 'partie', 'x000d', 'vrai', 'progrès', 'société', 'x000d', 'x000d', 'lemondefrplanetearticle2']",2023-01-15,Thème 6,Emploi et dynamique économique,Thème 10,Services publics et transition écologique
"on va donc remplacer tous les poneys par un bon moteur au charbon, moteur de la transition écologique au point ou on en est","['remplacer', 'poney', 'moteur', 'charbon', 'moteur', 'écologique']",2023-01-15,Thème 12,Innovation dans le secteur de l'énergie,Thème 1,Soutien et financement de projets écologiques
"Formés à la transition écologique, des directeurs d’administration centrale expriment leur envie d’agir lemonde.fr/planete/article/2…","['former', 'écologique', 'directeur', 'administration', 'central', 'exprimer', 'envie', 'agir', 'lemondefrplanetearticle2']",2023-01-15,Thème 6,Emploi et dynamique économique,Thème 6,Emploi et industrie écologique
"Et Je ne paye d impôt en France sur ce pactole non déclaré ! Et cet argent est l argent du pétrole de papa en tant que ministre de la transition écologique, c est cool!","['pay', 'impôt', 'france', 'pactole', 'déclarer', 'argent', 'argent', 'pétrol', 'papa', 'ministre', 'écologique', 'cool']",2023-01-15,Thème 2,Énergie renouvelable et développement international,Thème 6,Emploi et industrie écologique
"Il existe des pays capitalistes écologiques, ce ne sont pas 2 choses opposées. _x000D_
Macron essaye justement de «transitionner» vers un capitaisme vert, c’est ça la transition écologique. _x000D_
Et pour les inégalités c’est juste de la logique, les inégalités sont bonne du moment","['exister', 'capitaliste', 'écologique', 'chose', 'opposer', 'x000d', 'macron', 'essayer', 'justement', 'transitionner', 'capitaisme', 'vert', 'écologique', 'x000d', 'inégalité', 'logique', 'inégalité', 'moment']",2023-01-15,Thème 3,Stratégies économiques et environnementales,Thème 10,Services publics et transition écologique
"J’ai réuni des directeurs d’administration centrale qui ont été formés à la transition écologique pour avoir leur retour d’expérience : échanges riches et nécessaires pour développer la formation à l’échelle territoriale. On continue le travail collectif !_x000D_
lemonde.fr/planete/article/2…","['réunir', 'directeur', 'administration', 'central', 'former', 'écologique', 'expérience', 'échange', 'riche', 'nécessaire', 'développer', 'formation', 'échell', 'territorial', 'continuer', 'travail', 'collectif', 'x000d', 'lemondefrplanetearticle2']",2023-01-15,Thème 12,Innovation dans le secteur de l'énergie,Thème 6,Emploi et industrie écologique
"Hier c'était la cérémonie des #Voeux2023 aux Grenoblois et aux Grenobloises._x000D_
Des vœux d'engagement, de joie et de prospérité sans prédation pour cette année 2023 qui sera celle du tremplin de la justice sociale et de la transition écologique pour #Grenoble.","['hier', 'cétait', 'cérémonie', 'voeux2023', 'grenoblois', 'grenobloisesx000d', 'vœux', 'dengagement', 'joi', 'prospériter', 'prédation', 'tremplin', 'justice', 'social', 'écologique', 'grenobl']",2023-01-15,Thème 11,Recherche et développement dans l'industrie énergétique,Thème 10,Services publics et transition écologique
"Ne pas avoir de retraite c’est encore plus injuste,priver les Français des investissements de l'Etat nécessaires à la transition écologique, à l'éducation, à la justice et à la sécurité de la France pour payer le déficit du système de retraite nié par certains c'est plus injuste.","['retraite', 'injustepriver', 'français', 'investissement', 'letat', 'nécessaire', 'écologique', 'léducation', 'justice', 'sécurité', 'france', 'payer', 'déficit', 'système', 'retraite', 'nié', 'injuste']",2023-01-15,Thème 11,Recherche et développement dans l'industrie énergétique,Thème 3,Énergie et économie vers une société écologique
"Perso j'ai pas la responsabilité de la transition écologique de la France donc c'est hors propos. Puis c'est un ministère, pas la baraque d'un random","['perso', 'responsabilité', 'écologique', 'france', 'propos', 'ministère', 'baraqu', 'random']",2023-01-16,Thème 14,"Énergie nucléaire, électricité et économie industrielle",Thème 12,Écologie et construction de bâtiments durables
"@Gemenne Et si un passage lyonnais s'envisage, ne pas hésiter à me contacter ➡️ il peut y avoir un fort intérêt d'une nouvelle conférence (ou rencontre, ou autre forme?) notamment à l'INSA (qui lance ses cours d'Enjeux de la Transition Ecologique)","['gemenn', 'passage', 'lyonnais', 'senvisage', 'hésiter', 'contacter', 'fort', 'intérêt', 'nouveau', 'conférence', 'rencontre', 'forme', 'linser', 'lance', 'cours', 'denjeux', 'ecologiqu']",2023-01-16,Thème 12,Innovation dans le secteur de l'énergie,Thème 12,Écologie et construction de bâtiments durables
"Et une subvention aux énergies fossiles de plus en supposée ""transition écologique""","['subvention', 'énergie', 'fossile', 'supposer', 'écologique']",2023-01-16,Thème 2,Énergie renouvelable et développement international,Thème 3,Énergie et économie vers une société écologique
"On peut augmenter les salaires, ce qui augmentera de fait les cotisations_x000D_
On peut créer des emplois utiles et compatibles avec une transition écologique","['augmenter', 'salaire', 'augmenter', 'cotisationsx000d', 'créer', 'emploi', 'utile', 'compatible', 'écologique']",2023-01-16,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 6,Emploi et industrie écologique
"C'est dire à quelle point la situation est grave pour ne pas dire désespérée. La transition écologique est un leurre. Cela ne peut marcher nul part. Ce qui nous attend est terrible, préparons nous..._x000D_
piped.video/watch?v=MfdViaZv…","['situation', 'grave', 'désespérer', 'écologique', 'leurre', 'marcher', 'attendre', 'terrible', 'préparon', 'nousx000d', 'pipedvideowatchvmfdviazv']",2023-01-16,Thème 0,Politique énergétique et environnementale,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Enfin, l’espérance dans la transition écologique ou comment réconcilier économie, écologie et social en proposant des solutions ! Merci @jchapuis @LaCroix","['espérance', 'écologique', 'réconcilier', 'économie', 'écologie', 'social', 'proposer', 'solution', 'jchapuis', 'lacroix']",2023-01-16,Thème 12,Innovation dans le secteur de l'énergie,Thème 0,Politiques environnementales et écologiques du gouvernement français
"L'ex-ministre de la Transition écologique de Jean Castex dénonce les ""injustices"" créées par le recul de l'âge de départ à la retraite. D'autres députées issues de son courant sont sur la même longueur d'onde. ENFIN un peu de LUCIDITE 🙏🙏","['lexministre', 'écologique', 'jean', 'castex', 'dénonce', 'injustice', 'créer', 'recul', 'lâge', 'départ', 'retraite', 'dautre', 'député', 'issu', 'courir', 'longueur', 'dond', 'lucidite']",2023-01-16,Thème 6,Emploi et dynamique économique,Thème 14,Agricultures et politiques environnementales
"De ce que j'ai creusé pour la transition écologique les USA ont fondé leurs villes sur la voiture individuelle ce qui explique leur étalement et n'ont quasi pas développé les transports en commun. Leur transition va être plus que difficile, limite impossible.","['creusé', 'écologique', 'user', 'fonder', 'ville', 'voitur', 'individuel', 'expliquer', 'étalement', 'nont', 'quasi', 'développé', 'transport', 'commun', 'difficile', 'limite', 'impossible']",2023-01-16,Thème 1,Production d'énergie et transition énergétique,Thème 8,Collectivités territoriales et développement durable
Quand t’apprend que là ministre de la transition écologique #agnespannier envoie ces bateaux « Perenco » se faire démanteler au Bangladesh où les conditions de travail son pitoyable merci #Surlefront,"['apprendre', 'ministre', 'écologique', 'agnespannier', 'envoie', 'bateau', 'perenco', 'démanteler', 'bangladesh', 'condition', 'travail', 'pitoyable', 'surlefront']",2023-01-16,Thème 13,Politique énergétique en Allemagne,Thème 0,Politiques environnementales et écologiques du gouvernement français
"🙏Vœu 3 :_x000D_
La transition écologique grâce à la décarbonisation. Il faut repenser nos manières de travailler et de construire.","['vœu', 'x000d', 'écologique', 'décarbonisation', 'repenser', 'manière', 'travailler', 'construire']",2023-01-16,Thème 7,Actualités économiques et environnementales,Thème 12,Écologie et construction de bâtiments durables
"les 100 milliards du CICE et des allègements qui ont suivi ce dispositif ont créé seulement 160000 empois soit 900000 € par emploi. Mauvaise gestion.récupérons cet argent pour le bien être des français-es: transition écologique, services publics,retraites..,","['milliard', 'cice', 'allègement', 'suivre', 'dispositif', 'créer', 'empoi', 'emploi', 'mauvais', 'gestionrécupéron', 'argent', 'français', 'écologique', 'service', 'publicsretraite']",2023-01-16,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Education nationale : 55,2 milliards_x000D_
Défense : 49,9 milliards_x000D_
Transition écologique : 19,5 Milliards_x000D_
Intérieur : 14,7 milliards_x000D_
Justice : 8,9 Milliards_x000D_
soit 27,2% de la fortune de 42 personnes 🧐","['education', 'national', 'milliardsx000d', 'défense', 'milliardsx000d', 'écologique', 'milliardsx000d', 'intérieur', 'milliardsx000d', 'justice', 'milliardsx000d', 'fortun']",2023-01-16,Thème 12,Innovation dans le secteur de l'énergie,Thème 0,Politiques environnementales et écologiques du gouvernement français
Des trophées pour dire « Bravos » aux festivals en transition écologique dlvr.it/SgzBsS,"['trophée', 'bravo', 'festival', 'écologique', 'dlvritsgzbs']",2023-01-16,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Selon un communiqué du ministère de la transition écologique, les déménageurs bretons viennent d'être reconnus comme une espèce invasive (art. L.411-6 du Code de l’environnement)","['communiquer', 'ministère', 'écologique', 'déménageur', 'breton', 'venir', 'dêtr', 'reconnaître', 'espèce', 'invasive', 'art', 'l4116', 'code', 'environnement']",2023-01-16,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"📢 LE PODCAST #velotaf ENFIN DISPONIBLE !_x000D_
Au programme : - un récapitulatif des avancées_x000D_
                             - les futurs projets _x000D_
Ecoutez-dès maintenant Monsieur M. fonctionnaire au ministère de la transition écologique sur le plan mobilités","['podcast', 'velotaf', 'disponible', 'x000d', 'programme', 'récapitulatif', 'avancéesx000d', 'futur', 'projet', 'x000d', 'ecoutezdès', 'Monsieur', 'fonctionnaire', 'ministère', 'écologique', 'plan', 'mobiliter']",2023-01-16,Thème 1,Production d'énergie et transition énergétique,Thème 0,Politiques environnementales et écologiques du gouvernement français
Quand tu vois pannier runachier parler de transition écologique que tu sais que ses enfants sont  actionnaires du entreprises petrolifaire tu te dit qu'il y a des personnes dans se gouvernement qui n'ont vraiment honte de rien,"['voir', 'pannier', 'runachier', 'écologique', 'sai', 'enfant', 'actionnaire', 'entreprendre', 'petrolifair', 'gouvernement', 'nont', 'hont']",2023-01-16,Thème 2,Énergie renouvelable et développement international,Thème 0,Politiques environnementales et écologiques du gouvernement français
".défendait désormais qu’une telle réforme permettrait d’investir dans la transition écologique, l’école et l’hôpital.","['défendre', 'réforme', 'permettrait', 'investir', 'écologique', 'école', 'hôpital']",2023-01-16,Thème 11,Recherche et développement dans l'industrie énergétique,Thème 10,Services publics et transition écologique
MTL_VSP: #Rappel | 🌎 Une importante transition écologique  s'opère MTL_VSP. Venez vous informer et vous exprimer sur les mo… nitter.net/i/web/status/161…,"['mtlvsp', 'rappel', 'important', 'écologique', 'sopèr', 'mtlvsp', 'venir', 'informer', 'exprimer', 'mo', 'nitternetiwebstatus161']",2023-01-16,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 12,Écologie et construction de bâtiments durables
"La Ville et le Pays de #ChâteauGontier renouent avec la cérémonie des #voeux. @Philippe__Henry ouvre l'année 2023 sous le signe de la transition #écologique, du dynamisme #économique et de la cohésion sociale.","['ville', 'châteaugontier', 'renouer', 'cérémonie', 'voeux', 'philippehenry', 'ouvrir', 'lanner', 'signe', 'écologique', 'dynamisme', 'économique', 'cohésion', 'social']",2023-01-16,Thème 6,Emploi et dynamique économique,Thème 0,Politiques environnementales et écologiques du gouvernement français
#Rappel | 🌎 Une importante transition écologique  s'opère @MTL_VSP. Venez vous informer et vous exprimer sur les modifications à venir du règlement de zonage. Assistez à l'assemblée publique le 𝟭𝟳 𝗷𝗮𝗻𝘃𝗶𝗲𝗿 𝗮̀ 𝟭𝟴𝗵. Ça vous concerne! bit.ly/3vNNoRR,"['rappel', 'important', 'écologique', 'sopèr', 'mtlvsp', 'venir', 'informer', 'exprimer', 'modification', 'venir', 'règlement', 'zonage', 'assister', 'lassembler', 'public', 'concerner', 'bitly3vnnorr']",2023-01-16,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 12,Écologie et construction de bâtiments durables
"Je ne suis pas particulièrement “Macroniste” mais force est de constater, que beaucoup d’efforts sont faits pour engager des actions fortes et concerté vers une transition écologique, durable et surtout pérenne","['macroniste', 'constater', 'effort', 'faire', 'engager', 'action', 'fort', 'concerté', 'écologique', 'durable', 'pérenne']",2023-01-17,Thème 10,Enjeux mondiaux et émissions de gaz à effet de serre,Thème 14,Agricultures et politiques environnementales
"Le CRECQ et le @CREMonteregie  ont eu l'occasion cette semaine de s'entretenir avec le Ministre de l’Agriculture, des Pêcheries et de l’Alimentation @andrelamontagn2, député de Johnson pour discuter agriculture durable, économie circulaire et transition écologique.","['crecq', 'cremonteregie', 'loccasion', 'semaine', 'sentretenir', 'ministre', 'agriculture', 'pêcherie', 'alimentation', 'andrelamontagn2', 'député', 'johnson', 'discuter', 'agriculture', 'durable', 'économie', 'circulaire', 'écologique']",2023-01-17,Thème 11,Recherche et développement dans l'industrie énergétique,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Selon le Shift Project, c'est au contraire en réduisant notre dépendance aux machines par plus de travail ""humain"" (moins de tracteurs, plus d'ouvriers agricoles) qu'on peut réussir une transition écologique.","['shift', 'project', 'contraire', 'réduire', 'dépendance', 'machine', 'travail', 'humain', 'tracteur', 'douvrier', 'agricole', 'réussir', 'écologique']",2023-01-17,Thème 0,Politique énergétique et environnementale,Thème 9,Politiques écologiques du président Emmanuel Macron
@ladepechedumidi n’a pas choisi le meilleur titre pour sa Une… mais bravo à @sudouest. Le rôle des journalistes est clé pour réussir la transition écologique.,"['ladepechedumidi', 'choisir', 'meilleur', 'titre', 'sudouest', 'rôle', 'journaliste', 'clé', 'réussir', 'écologique']",2023-01-17,Thème 6,Emploi et dynamique économique,Thème 1,Soutien et financement de projets écologiques
"La transition écologique dans le transport maritime. Je découvre ce beau projet avec @RMCDecouverte, 7 ans de R&D sur le moteur LNG.","['écologique', 'transport', 'maritime', 'découvrir', 'projet', 'rmcdecouvert', 'rd', 'moteur', 'lng']",2023-01-17,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 9,Politiques écologiques du président Emmanuel Macron
L’Atelier Canopé 40 est très heureux de participer au lancement de l’entrée « Éduquer à la transition écologique » sur Canotech avec la production d’un webinaire consacré à la mise en œuvre de projets par les élèves pour leur territoire. @VinctMichaud @SarahClarens @TheGeFelix,"['atelier', 'canoper', 'heureux', 'participer', 'lancement', 'entrée', 'éduquer', 'écologique', 'canotech', 'production', 'webinair', 'consacrer', 'œuvre', 'projet', 'élève', 'territoire', 'vinctmichaud', 'sarahclaren', 'thegefelix']",2023-01-17,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 0,Politiques environnementales et écologiques du gouvernement français
"Macron se trompe, on a très bien compris._x000D_
Tout comme quand Pannier-Runacher a déclaré lors de sa prise de fonction au ministère de la Transition énergétique, qu'il fallait ""rattraper le temps perdu"" en matière de transition écologique. Donc après plus de 5 ans de macronisme.","['macron', 'tromp', 'comprisx000d', 'pannierrunacher', 'déclarer', 'prise', 'fonction', 'ministèr', 'falloir', 'rattraper', 'temps', 'perdre', 'matière', 'écologique', 'macronisme']",2023-01-17,Thème 9,Interviews médias et déclarations de la ministre de l'industrie,Thème 0,Politiques environnementales et écologiques du gouvernement français
"LE LYCÉE PAUL LANGEVIN AMÉLIORE SON CONFORT & VA FAIRE DES ÉCONOMIES GRÂCE À LA RÉGION @hautsdefrance !_x000D_
2 années de travaux nécessaires dans le but d'améliorer les conditions de travail de nos lycéens et répondre aux enjeux de la transition écologique.","['lycer', 'paul', 'langevin', 'améliore', 'confort', 'économie', 'région', 'hautsdefrance', 'x000d', 'année', 'traval', 'nécessaire', 'daméliorer', 'condition', 'travail', 'lycéen', 'répondre', 'enjeu', 'écologique']",2023-01-17,Thème 12,Innovation dans le secteur de l'énergie,Thème 9,Politiques écologiques du président Emmanuel Macron
"SO_MTL: La transition écologique et sociale vous tient à cœur?🌱Du 19 janvier au 23 février, participez au premier budget… nitter.net/i/web/status/161…","['somtl', 'écologique', 'social', 'tenir', 'cœur', 'janvier', 'février', 'participer', 'budget', 'nitternetiwebstatus161']",2023-01-17,Thème 13,Politique énergétique en Allemagne,Thème 6,Emploi et industrie écologique
"Quand la transition #écologique se heurte aux traditions d'un peuple autochtone. #Suède #terresrares #lithium_x000D_
lemonde.fr/planete/article/2…","['écologique', 'heurte', 'tradition', 'peuple', 'autochtone', 'suède', 'terresrare', 'lithiumx000d', 'lemondefrplanetearticle2']",2023-01-17,Thème 6,Emploi et dynamique économique,Thème 1,Soutien et financement de projets écologiques
On en apprend tous les jours. Blanquer est expert en transition écologique et développement durable. La blague.,"['apprendre', 'jour', 'blanquer', 'expert', 'écologique', 'développement', 'durable', 'blagu']",2023-01-17,Thème 6,Emploi et dynamique économique,Thème 1,Soutien et financement de projets écologiques
"Le pompon revient quand même à Élisabeth Borne à l'époque où elle était ministre de la transition écologique et solidaire, dont dépendent les transports, quand elle s'est rendue au Maroc pour fêter Noël alors qu'une partie du pays était paralysé par la grève des transports ! 🙄","['pompon', 'revenir', 'élisabeth', 'born', 'lépoqu', 'ministre', 'écologique', 'solidaire', 'dépendre', 'transport', 'sest', 'rendre', 'maroc', 'fêter', 'noël', 'quune', 'partie', 'paralyser', 'grèv', 'transport']",2023-01-17,Thème 6,Emploi et dynamique économique,Thème 8,Collectivités territoriales et développement durable
"🔴Suite à la pertinente interpellation de mon collègue @HubertOttAlsace sur le sujet de #Stocamine,le ministre de la transition écologique annonce qu'il recevra les parlementaires alsaciens pour""mettre les choses sur la table"".Je souhaite que cette rencontre soit un vrai dialogue","['suite', 'pertinente', 'interpellation', 'collègue', 'hubertottalsace', 'stocaminele', 'ministr', 'écologique', 'annonce', 'recevoir', 'parlementaire', 'alsacien', 'pourmettr', 'chose', 'tablej', 'souhaiter', 'rencontre', 'vrai', 'dialogue']",2023-01-17,Thème 12,Innovation dans le secteur de l'énergie,Thème 0,Politiques environnementales et écologiques du gouvernement français
"individuelle étant toujours la priorité (cf la fameuse transition ""écologique"" de la bagnole électrique) sur les transports en commun, réduire les vieux sur la route limitera qu'à la marge les problèmes liés à la dépendance à la voiture.","['individuel', 'priorité', 'cf', 'fameux', 'écologique', 'bagnole', 'électrique', 'transport', 'commun', 'réduire', 'vieux', 'route', 'limiter', 'quà', 'marge', 'problème', 'lier', 'dépendanc', 'voitur']",2023-01-17,Thème 2,Énergie renouvelable et développement international,Thème 1,Soutien et financement de projets écologiques
"Solidarité, jeunesse, éducation, tranquillité publique, aménagement urbain, transition écologique, culture, sport, participation citoyenne. Des enjeux forts qui seront une nouvelle fois, en 2023, au cœur des priorités de la Ville de #Chenove","['solidarité', 'jeuness', 'éducation', 'tranquillité', 'public', 'aménagement', 'urbain', 'écologique', 'culture', 'sport', 'participation', 'citoyen', 'enjeux', 'fort', 'nouveau', 'cœur', 'prioriter', 'ville', 'chenov']",2023-01-17,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 0,Politiques environnementales et écologiques du gouvernement français
"Des trophées pour dire « Bravos » aux festivals en transition écologique_x000D_
eco-bretons.info/des-trophee…_x000D_
Le  Collectif des Festivals, qui fédère 33 événements en Bretagne,  s’associe au Reeve et au Pôle (pôle de musique actuelles des Pays de la Loire) pour  lancer les « Bravos ». (1/2)","['trophée', 'bravo', 'festival', 'écologiquex000d', 'ecobretonsinfodestrophe', 'x000d', 'collectif', 'festival', 'fédèr', 'événement', 'bretagn', 'associer', 'reeve', 'pôle', 'pôle', 'musiqu', 'actuel', 'loir', 'lancer', 'bravo']",2023-01-17,Thème 12,Innovation dans le secteur de l'énergie,Thème 11,Réformes écologiques et environnementales en France
Ces trophées récompenseront le 6 avril les  actions entreprises par les festivals bretons et ligériens dans le  domaine de la transition écologique. Les candidatures sont à déposer  avant le 3 mars. (2/2),"['trophée', 'récompenser', 'action', 'entrepris', 'festival', 'breton', 'ligérien', 'domaine', 'écologique', 'candidature', 'déposer']",2023-01-17,Thème 1,Production d'énergie et transition énergétique,Thème 4,Santé et développement durable
"Unité européenne face à la guerre, souveraineté renforcée, transition écologique, #Europe sociale et de l’égalité f/h._x000D_
_x000D_
Heureuse et fière de retrouver les artisans des avancées majeures de la #PFUE, réunis par le Président @EmmanuelMacron. 🇫🇷🇪🇺","['unité', 'européen', 'guerre', 'souveraineté', 'renforcer', 'écologique', 'europe', 'social', 'égalité', 'fhx000d', 'x000d', 'heureux', 'fier', 'retrouver', 'artisan', 'avancée', 'majeur', 'pfue', 'réuni', 'président', 'emmanuelmacron']",2023-01-17,Thème 6,Emploi et dynamique économique,Thème 2,Évolution de l'écologie et de l'environnement dans le temps
"30% d'une gauche radicale, c'est un bon point d'appui pour (réellement) amorcer la transition écologique ET solidaire. Allez, le changement, c'est maintenant ! ;-)","['gauche', 'radical', 'dappui', 'réellement', 'amorcer', 'écologique', 'solidaire', 'aller', 'changemer']",2023-01-17,Thème 12,Innovation dans le secteur de l'énergie,Thème 6,Emploi et industrie écologique
"""On nous dit d’abord qu’il s’agit de dégager des ressources financières pour «investir massivement» : l’éducation, l’hôpital, la transition écologique — qui, conformément à l’essence du macronisme, seront essentiellement payés de mots et ne verront pas la couleur d’un euro réel.""","['agir', 'dégager', 'ressource', 'financier', 'investir', 'massivement', 'éducation', 'hôpital', 'écologique', 'conformément', 'essenc', 'macronism', 'essentiellement', 'payer', 'mot', 'voir', 'couleur', 'euro', 'réel']",2023-01-18,Thème 13,Politique énergétique en Allemagne,Thème 1,Soutien et financement de projets écologiques
"Un immense merci aux équipes de la direction de la transition écologique et du climat pour tout le travail accompli en 2022. _x000D_
_x000D_
Objectif en 2023 : accélérer la transition énergétique à Paris et écrire avec les parisiens le nouveau plan climat de la Ville 2024-2030.","['immense', 'équipe', 'direction', 'écologique', 'climat', 'travail', 'accomplir', 'x000d', 'x000d', 'objectif', 'accélérer', 'pari', 'écrir', 'parisien', 'plan', 'climat', 'ville']",2023-01-18,Thème 8,"Énergie solaire, éolienne en France et dans le monde",Thème 8,Collectivités territoriales et développement durable
"Une réglementation adaptée pour accélérer la transition écologique dans l'arrondissement de Mercier-Hochelaga-Maisonneuve : _x000D_
montreal.ca/articles/une-reg…_x000D_
+ de verdissement, + d'équipements dédiés aux mobilités durables , + de qualité architecturale _x000D_
_x000D_
#mtl #polmtl #urbanisme","['réglementation', 'adapter', 'accélérer', 'écologique', 'larrondissement', 'mercierhochelagamaisonneuv', 'x000d', 'montrealcaarticlesunereg', 'x000d', 'verdissemer', 'déquipement', 'dédier', 'mobiliter', 'durable', 'qualité', 'architectural', 'x000d', 'x000d', 'mtl', 'polmtl', 'urbanisme']",2023-01-18,Thème 13,Politique énergétique en Allemagne,Thème 4,Santé et développement durable
"« Ce qu'on demande, c'est que l'on puisse plafonner la distribution des dividendes pour investir dans la transition écologique » @CecileDuflot, directrice générale d’Oxfam France_x000D_
_x000D_
La suite :_x000D_
➡️bit.ly/mondialisationfindumy…_x000D_
🎧en podcast audmns.com/kLiNvMO","['lon', 'pouvoir', 'plafonner', 'distribution', 'dividende', 'investir', 'écologique', 'cecileduflot', 'directrice', 'général', 'oxfam', 'francex000d', 'x000d', 'suite', 'x000d', 'bitlymondialisationfindumy', 'x000d', 'podcast', 'audmnscomklinvmo']",2023-01-18,Thème 13,Politique énergétique en Allemagne,Thème 2,Évolution de l'écologie et de l'environnement dans le temps
"De la réduction de la consommation énergétique à la sensibilisation des visiteurs, la transition écologique se met en marche dans les institutions culturelles @IcomOfficiel @LesEchos planete.lesechos.fr/enquetes… via @CCBTSCJ","['réduction', 'consommation', 'sensibilisation', 'visiteur', 'écologique', 'mettre', 'marche', 'institution', 'culturel', 'icomofficiel', 'lesecho', 'planetelesechosfrenquete', 'ccbtscj']",2023-01-18,Thème 6,Emploi et dynamique économique,Thème 1,Soutien et financement de projets écologiques
"@regiongrandest @Regionsdefrance et @EMK d’avoir organisé cette rencontre #regionsLaender 🇫🇷🇩🇪 a @strasbourg et d’avoir entendu les paroles des jeunes pour accélérer la transition écologique . #ensemble avec @ofaj_dfjw , unissons nos forces! @Franck_LEROY_","['regiongrandest', 'regionsdefrance', 'emk', 'organiser', 'rencontre', 'regionslaender', 'strasbourg', 'entendre', 'parole', 'jeune', 'accélérer', 'écologique', 'ensembl', 'ofajdfjw', 'unisson', 'force', 'franckleroy']",2023-01-18,Thème 12,Innovation dans le secteur de l'énergie,Thème 8,Collectivités territoriales et développement durable
"♻️ [ Transition écologique ]_x000D_
""Gaz à effet de serre, émission carbone.."", les entreprises 🇨🇵 s'engagent  contre le dérèglement et réchauffement climatique. _x000D_
Nous sommes tous concerné(e)s  appel du Président de la République.","['écologique', 'x000d', 'serre', 'émission', 'carbon', 'entreprise', 'sengagent', 'dérèglement', 'réchauffement', 'climatique', 'x000d', 'concerner', 'appel', 'président', 'républiqu']",2023-01-18,Thème 3,Stratégies économiques et environnementales,Thème 14,Agricultures et politiques environnementales
"Taxer les riches permettrait :_x000D_
- de financer les retraites_x000D_
- de financer la transition écologique_x000D_
- de financer l'hôpital, l'école_x000D_
- de financer le grand âge ...etc...etc_x000D_
La solution qui passe partout pour les politiques qui n'ont aucune idée.","['taxer', 'riche', 'permettrait', 'x000d', 'financer', 'retraitesx000d', 'financer', 'écologiquex000d', 'financer', 'lhôpital', 'lécolex000d', 'financer', 'grand', 'âge', 'etcetcx000d', 'solution', 'passer', 'partout', 'politique', 'nont', 'idé']",2023-01-18,Thème 4,Financement et développement public,Thème 2,Évolution de l'écologie et de l'environnement dans le temps
